No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
186,CALF Turnkey,Cork City,"Link Road, Ballincollig, Cork (Phase 1)*",40,Respond,,,,,Q3-2021,
187,CALF Turnkey,Cork City,"Miles Stream, Shanakiel, Cork (Phase 1)",14,Tuath Housing Association,,,,,Q3-2021,
188,CALF Turnkey,Cork City,"Miles Stream, Shanakiel, Cork (Phase 2)",14,Tuath Housing Association,,,,,Q3-2021,
189,CALF Turnkey,Cork City,"Miles Stream, Shanakiel, Cork (Phase 3)",14,Tuath Housing Association,,,,,Q3-2021,
190,CALF Turnkey,Cork City,"Millfield Cottages, Blackpool, Cork City (Phase 1)*",18,Respond,,,,Q1-2022,,
191,CALF Turnkey,Cork City,"Redforge Road, Blackpool, Cork City (Phase 2)",31,Respond,,,,,,Q4-2021
192,CALF Turnkey,Cork City,"Redforge Road, Blackpool, Cork City (Phase 3)*",20,Respond,,,,,Q1-2020,
193,CALF Turnkey,Cork City,"Redforge Road, Blackpool, Cork City (Phase 4)",11,Respond,,,,,Q1-2020,
194,CALF Turnkey,Cork City,"Riverside Farm, Model Farm Road, Bishopstown, Cork (Phase 1)*",48,Respond,,,,Q4-2021,,
195,CALF Turnkey,Cork City,"Sarsfield Road, Doughcloyne, Wilton, Cork (Phase 1)*",22,Respond,,,,,,Q2-2022
196,CALF Turnkey,Cork City,"Sarsfield Road, Doughcloyne, Wilton, Cork (Phase 2)*",19,Respond,,,,,Q4-2020,
197,CALF Turnkey,Cork City,"Sarsfield Road, Doughcloyne, Wilton, Cork (Phase 3)",24,Respond,,,,,Q4-2020,
198,CALF Turnkey,Cork City,"Sarsfield Road, Doughcloyne, Wilton, Cork City (Phase 1)",4,Respond,,,,Q2-2022,,
199,CALF Turnkey,Cork City,"Springville House, Bulls Lane, Blackrock Road, Cork (Phase 1)",35,Tuath Housing Association,,,,,Q4-2020,
200,CALF Construction,Cork City,"St Dominics, Middle Glanmire Road, Montenotte, Cork (Phase 1)",27,Tuath Housing Association,,,,,Q1-2021,
201,CALF Turnkey,Cork City,"Strawberry Hill, Blarney Street, Cork (Phase 1)*",16,Respond,,,,Q1-2022,,
202,CALF Turnkey,Cork City,"Summerville Place, Sunday’s Well, Cork (Phase 1)",10,Respond,,,,,Q1-2021,
203,CALF Turnkey,Cork City,"The Oaks, Frankfield, Douglas, Cork City (Phase 1)*",2,Tuath Housing Association,,,,,,Q4-2021
204,SHIP CONSTRUCTION,Cork County,"Townsend Street, Skibbereen",6,*N/A,,,,,,Q2-2022
205,SHIP CONSTRUCTION,Cork County,"Beechgrove, Clonakilty",6,N/A,,,,,,Q2-2022
206,SHIP CONSTRUCTION TURNKEY,Cork County,"Claragh Road, Millstreet",5,*N/A,,,,,,Q2-2021
207,SHIP CONSTRUCTION TURNKEY,Cork County,"Seafield, Bantry, ",3,*N/A,,,,,Q3-2018,
208,SHIP CONSTRUCTION TURNKEY,Cork County,"Crann Ard, Fermoy",6,*N/A,,,,,Q4-2017,
209,SHIP CONSTRUCTION TURNKEY,Cork County,"Sweetfields, Youghal",3,*N/A,,,,,,Q4-2021
210,SHIP CONSTRUCTION TURNKEY,Cork County,"Mill Road, Avoncore, Bloomfield, Midleton",11,*N/A,,,,,,Q1-2021
211,SHIP CONSTRUCTION TURNKEY,Cork County,"Mill Road, Avoncore, Bloomfield, Midleton",17,*N/A,,,,,,Q2-2021
212,SHIP CONSTRUCTION TURNKEY,Cork County,"Copper Point, Schull",9,*N/A,,,,,Q2-2021,
213,SHIP CONSTRUCTION TURNKEY,Cork County,"Millview Road, Kanturk",4,*N/A,,,,,,Q1-2021
214,SHIP CONSTRUCTION TURNKEY,Cork County,"Ard an Bhaile, Creggane, Buttevant",6,*N/A,,,,,Q1-2020,
215,SHIP CONSTRUCTION TURNKEY,Cork County,"Ballymacmoy, Killavullen, Co. Cork",13,*N/A,,,,"Stage 4 approved Q4-2019, the scheme is fully approved.",,
216,SHIP CONSTRUCTION TURNKEY,Cork County,"Meenane, Watergrasshill",4,*N/A,,,,,,Q2-2021
217,SHIP CONSTRUCTION TURNKEY,Cork County,"Crann Ard, Fermoy",16,*N/A,,,,,Q4-2017,
218,SHIP CONSTRUCTION TURNKEY,Cork County,"Caherdaniel, Bantry",10,*N/A,,,,,Q1-2020,
219,SHIP CONSTRUCTION TURNKEY,Cork County,"An Goritin Rua, Millstreet Road, Macroom",14,*N/A,,,,,,Q2-2021
220,SHIP CONSTRUCTION TURNKEY,Cork County,"Lyraneag, Rockchapel,",2,*N/A,,,,"Stage 4 approved Q2-2020, the scheme is fully approved.",,
221,SHIP CONSTRUCTION TURNKEY,Cork County,"Eyeries, Castletownbere",6,*N/A,,,,,Q4-2020,
222,SHIP CONSTRUCTION TURNKEY,Cork County,"Lios Ard, Ballyhooly",6,*N/A,,,,,,Q1-2021
223,SHIP CONSTRUCTION TURNKEY,Cork County,"Spa Glen,Ballyviniter, Mallow",18,*N/A,,,,,,Q2-2021
224,SHIP CONSTRUCTION TURNKEY,Cork County,"Drakes Point, Knocknagore, Crosshaven",5,*N/A,,,,,,Q3-2021
225,SHIP CONSTRUCTION TURNKEY,Cork County,"Caherdaniel, Bantry",6,*N/A,,,,,Q1-2020,
226,SHIP CONSTRUCTION TURNKEY,Cork County,"Caherdaniel, Bantry",6,*N/A,,,,,Q1-2020,
227,SHIP CONSTRUCTION TURNKEY,Cork County,"Abbeyfort, Kinsale",19,*N/A,,,,,,Q4-2021
228,SHIP CONSTRUCTION TURNKEY,Cork County,"Clarendon Brooks, Carrs Hill, Douglas",4,*N/A,,,,,,Q1-2021
229,SHIP CONSTRUCTION TURNKEY,Cork County,"Abbeyfort, Kinsale, Phase 2, Co. Cork",17,*N/A,,,,"Stage 4 approved Q1-2021, the scheme is fully approved.",,
230,SHIP CONSTRUCTION TURNKEY,Cork County,"Ard Cashel, Watergrasshill",6,*N/A,,,,,,Q1-2022
231,SHIP CONSTRUCTION TURNKEY,Cork County,"Lios Ard, Ballyhooly",6,*N/A,,,,,,Q2-2021
232,SHIP CONSTRUCTION TURNKEY,Cork County,"Courtbrack, Tower",1,*N/A,,,,,,Q4-2021
233,SHIP CONSTRUCTION TURNKEY,Cork County,"Sweetfields, Youghal",10,*N/A,,,,,Q1-2019,
234,SHIP CONSTRUCTION TURNKEY,Cork County,"Crann Ard, Fermoy",26,*N/A,,,,,Q4-2017,
235,SHIP CONSTRUCTION TURNKEY,Cork County,"The Pastures, Charleville",4,*N/A,,,,,,Q4-2021
236,SHIP CONSTRUCTION TURNKEY,Cork County,"Meenane, Watergrasshill",7,*N/A,,,,,,Q2-2021
237,SHIP CONSTRUCTION TURNKEY,Cork County,"Meenane, Watergrasshill",3,*N/A,,,,,,Q1-2022
238,SHIP CONSTRUCTION TURNKEY,Cork County,"Kilmoney, Carrigaline",21,*N/A,,,,,Q1-2021,
239,SHIP CONSTRUCTION TURNKEY,Cork County,"Kilmoney, Carrigaline",11,*N/A,,,,,Q1-2021,
240,SHIP CONSTRUCTION TURNKEY,Cork County,"Kilmoney, Carrigaline",14,*N/A,,,,,Q1-2021,
241,SHIP CONSTRUCTION TURNKEY,Cork County,"Meenane, Watergrasshill",4,*N/A,,,,,,Q4-2021
242,SHIP CONSTRUCTION TURNKEY,Cork County,"The Meadows, Dunmanway, Co. Cork",4,N/A,,,,,Q4-2021,
243,SHIP CONSTRUCTION TURNKEY,Cork County,"Sweetfields, Youghal",7,N/A,,,,,,Q1-2022
244,SHIP CONSTRUCTION TURNKEY,Cork County,"Caherdaniel, Bantry",12,*N/A,,,,,Q1-2020,
245,SHIP CONSTRUCTION TURNKEY,Cork County,"Dromdiah Park, Killeagh Gardens, Killeagh",10,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
246,SHIP CONSTRUCTION TURNKEY,Cork County,"Reanrour East, Bantry ",5,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
247,SHIP CONSTRUCTION SINGLE STAGE,Cork County,"2A Glenview, Lyre, Banteer",1,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
248,SHIP CONSTRUCTION SINGLE STAGE,Cork County,"Cuirt Na Slini, Cloyne, East Cork ",2,*N/A,,,,,Q3-2021,
249,SHIP CONSTRUCTION SINGLE STAGE,Cork County,"81 Belmont Place, Cobh,",1,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
250,SHIP CONSTRUCTION SINGLE STAGE,Cork County,Main St. Dunmanway,1,*N/A,,,,,,Q4-2021
251,SHIP CONSTRUCTION SINGLE STAGE,Cork County,"Croke Place, Garranmacgarrett, Kilbrin, kanturk",2,*N/A,,,,,Q3-2020,
252,SHIP CONSTRUCTION SINGLE STAGE,Cork County,"High St., Sleaveen Hill, Macroom",1,*N/A,,,,,,Q2-2022
253,SHIP CONSTRUCTION SINGLE STAGE,Cork County,"Aisling Gheal, Hospital Hill, Kanturk",1,*N/A,,,,"Stage 4 approved Q1-2020, the scheme is fully approved.",,
254,SHIP CONSTRUCTION SINGLE STAGE,Cork County,"Carrig Rossa Phase 2, Rossmore",2,*N/A,,,,"Stage 4 approved Q2-2020, the scheme is fully approved.",,
255,SHIP CONSTRUCTION SINGLE STAGE,Cork County,"Fana Na gCann, Co. Cork",2,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,
256,SHIP CONSTRUCTION SINGLE STAGE,Cork County,"3 Knockbrogan Park, Bandon",1,*N/A,,,,,,Q4-2021
257,SHIP CONSTRUCTION SINGLE STAGE,Cork County,"87 Belmont, Cobh",1,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
258,SHIP CONSTRUCTION,Cork County,"Ard Na Greine, Cortmacsherry",17,*N/A,,,,,Q3-2019,
259,SHIP CONSTRUCTION,Cork County,"Beechgrove, Clonakilty",51,*N/A,,,,,,Q4-2021
260,SHIP CONSTRUCTION,Cork County,"Newtown House , Bantry",1,*N/A,,,,,,Q4-2021
261,SHIP CONSTRUCTION,Cork County,"Kilnagleary, Carrigaline (Phase 4)",15,*N/A,,,,,Q4-2019,
262,SHIP CONSTRUCTION SINGLE STAGE,Cork County,"49 Masseytown, Macroom",1,*N/A,,,,,,Q2-2022
263,SHIP CONSTRUCTION,Cork County,Kearney's field Dunmanway,5,*N/A,,,,,Q3-2020,
264,SHIP CONSTRUCTION,Cork County,"Richmond Court, Bandon",6,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
265,SHIP CONSTRUCTION,Cork County,"Brigown Road, Mitchelstown",8,*N/A,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
266,SHIP CONSTRUCTION,Cork County,"Sleaveen East, Macroom",8,*N/A,,,"Stage 3 approved Q4-2020, the scheme is now approved to proceed to tender.",,,
267,SHIP CONSTRUCTION,Cork County,"Pound Lane, Kilworth ",7,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
268,SHIP CONSTRUCTION,Cork County,"Knocknagown, Rylane",1,*N/A,,,,,,Q3-2021
269,SHIP CONSTRUCTION,Cork County,"Uplands (Phase 2), College Road,  Fermoy",11,*N/A,,"Stage 2 approved Q3-2019, full design/tender being prepared.",,,,
270,SHIP CONSTRUCTION,Cork County,"Lissoran, Ballinspittle",4,*N/A,,,,,,Q4-2021
271,SHIP CONSTRUCTION,Cork County,"Convent Road, Doneraile",17,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
272,SHIP CONSTRUCTION,Cork County,Kearney's field Dunmanway,13,*N/A,,,,,Q3-2020,
273,SHIP CONSTRUCTION,Cork County,"Chapel Lane, Ballydehob, Co. Cork",12,*N/A,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
274,SHIP CONSTRUCTION,Cork County,"Sleaveen East, Macroom",16,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,
275,SHIP CONSTRUCTION,Cork County,"Plás an Iarnróid (Railway Place), Old Barrack Road, Bantry, Co. Cork",6,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
276,SHIP CONSTRUCTION,Cork County,"Coastguard Cottages, Lower Roads, Crosshaven, Co. Cork",27,*N/A,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,
277,CAS CONSTRUCTION TURNKEY,Cork County,"Ardmanagh, Schull",12,Túath Housing Association Ltd,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
278,CAS CONSTRUCTION TURNKEY,Cork County,"1-10 Vickerys Inn, New Street Bantry",10,Peter McVerry Trust Ltd,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
279,CAS CONSTRUCTION TURNKEY,Cork County,"Main Street, Charleville, Co. Cork",10,Peter McVerry Trust Ltd,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
280,CAS CONSTRUCTION TURNKEY,Cork County,"Mullavale, Castletownroche",8,Respond,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
281,CAS CONSTRUCTION,Cork County,"Sisters of Mercy Church and Convent at Knocknamuck, Bantry Bay",18,Cluid Housing Association,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
282,CAS CONSTRUCTION,Cork County,"Masseytown, Macroom",14,Túath Housing Association Ltd,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,
283,CAS CONSTRUCTION,Cork County,"Baile Bhuire, Macroom",3,Comhlacht Tithe Soisialta Agus ? Forbairt An Tsulain Teoranta,,,,,Q2-2020,
284,CAS CONSTRUCTION,Cork County,"Charleville, Church View, Love Lane, Charleville",9,Charleville Care Project Ltd,,,"Stage 3 approved Q1-2022, the scheme is now approved to proceed to tender.",,,
285,CAS CONSTRUCTION,Cork County,"St. Michaels, 36 Main Street, Bandon, Co. Cork",6,Bandon Geriatric ? Community Council,,"Stage 2 approved Q1-2021, full design/tender being prepared.",,,,
286,CAS CONSTRUCTION,Cork County,"Distillery Lane, Distillery Walk, Midleton",7,Midleton Lions Clubs Housing Association Limited,"Stage 1 approved Q1-2020, outline design and costs being prepared.",,,,,
287,CAS CONSTRUCTION,Cork County,"Mardyke, Skibbereen",8,*N/A,"Stage 1 approved Q1-2020, outline design and costs being prepared.",,,,,
288,CAS CONSTRUCTION,Cork County,"Daniel O’Brien Terrace, Buttevant",9,Túath Housing Association Ltd,,,"Stage 3 approved Q1-2022, the scheme is now approved to proceed to tender.",,,
289,CAS CONSTRUCTION,Cork County,"Lisheen Field, Kilbarry Road, Dunmanway, Co. Cork",16,Cluid Housing Association,"Stage 1 approved Q2-2020, outline design and costs being prepared.",,,,,
290,CAS CONSTRUCTION,Cork County,"8 Harbour Row, Cobh",5,Óglaigh Náisiúnta na hÉireann (O.N.E.),,,,,Q1-2022,
291,SHIP CONSTRUCTION TURNKEY,Cork County,"Copper Point, Schull",5,*N/A,,,,,,Q2-2022
292,SHIP CONSTRUCTION TURNKEY,Cork County,"Kilmoney, Carrigaline",12,*N/A,,,,,,Q2-2022
293,SHIP CONSTRUCTION TURNKEY,Cork County,"Lisgoold, An Tui ",2,*N/A,,,,,,Q2-2022
294,SHIP CONSTRUCTION TURNKEY,Cork County,"The Pastures, Charleville",5,*N/A,,,,,,Q2-2022
295,SHIP CONSTRUCTION TURNKEY,Cork County,"Meenane, Watergrasshill",7,*N/A,,,,,,Q2-2022
296,SHIP CONSTRUCTION TURNKEY,Cork County,"The Pastures, Charleville",7,*N/A,,,,,,Q2-2022
297,CALF Turnkey,Cork County,"Cascade Apartments, Castlelake, Carrigtwohill, Cork (Phase 1)",95,Co - Operative Housing Ireland Society Limited,,,,,Q3-2021,
298,CALF Turnkey,Cork County,"Castle Heights, Kilmoney, Carrigaline, Co Cork (Phase 1)",8,Clúid Housing,,,,,Q2-2021,
299,CALF Turnkey,Cork County,"Castle Heights, Kilmoney, Carrigaline, Co Cork (Phase 2)",4,Clúid Housing,,,,,Q2-2021,
300,CALF Turnkey,Cork County,"Church Hill, Carrigaline, Co Cork (Phase 1)*",37,Respond,,,,,Q3-2021,
301,CALF Turnkey,Cork County,"Harbour Heights, Passage West, Co Cork (Phase 1)",14,Clúid Housing,,,,,Q4-2020,
302,CALF Turnkey,Cork County,"Harbour Heights, Passage West, Co Cork (Phase 2)",13,Clúid Housing,,,,,Q4-2020,
303,CALF Turnkey,Cork County,"Hazel View, Hazel Brooke, Spa Glen, Mallow, Co Cork (Phase 1)",12,Clúid Housing,,,,,Q4-2021,
304,CALF Turnkey,Cork County,"Lough Beg, Loughbeg, Ringaskiddy, Cork (Phase 1)*",15,Respond,,,,Q2-2022,,
305,CALF Turnkey,Cork County,"Shambles Lane, Thomas Davis Street, Mallow, Co Cork (Phase 1)",6,Focus Housing Association CLG,,,,Q1-2022,,
306,CALF Turnkey,Cork County,"Westview, Coolroe, Ballincollig, Co. Cork (Phase 2)",20,Respond,,,,,,Q1-2021
307,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Cork County,"The Miles, Clonakilty (Phase 1)",20,*N/A,,,,,,Q2-2021
308,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Cork County,"The Miles, Clonakilty (Phase 2)",32,*N/A,,,,,,Q4-2021
309,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Cork County,"Poundhill, Skibbereen (Phase 1)",35,*N/A,,,,,,Q2-2021
310,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Cork County,"Poundhill, Skibbereen (Phase 2)",15,*N/A,,,,,,Q4-2021
311,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Cork County,"Oakwood, Macroom (Phase 1)",37,*N/A,,,,,,Q2-2021
312,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Cork County,"Oakwood, Macroom (Phase 2)",13,*N/A,,,,,,Q3-2021
313,SHIP CONSTRUCTION TURNKEY,DLR,Kilternan Close,22,*N/A,,,,,,Q1-2021
314,SHIP CONSTRUCTION TURNKEY,DLR,Kilternan Close,16,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,
315,SHIP CONSTRUCTION TURNKEY,DLR,"George's Street Upper, Dun Laoghaire",5,*N/A,,,,,,Q1-2021
316,SHIP CONSTRUCTION TURNKEY,DLR,"HazelBrook Square, Nutgrove, Churchtown",2,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
317,SHIP CONSTRUCTION TURNKEY,DLR,Kilternan Close,17,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,
318,SHIP CONSTRUCTION TURNKEY,DLR,"Dun Gaoithe, Sandyford, Dublin 18",2,N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
319,SHIP CONSTRUCTION DESIGN BUILD,DLR,"Ballyogan Square, Ballyogan",67,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
320,SHIP CONSTRUCTION DESIGN BUILD,DLR,Shanganagh Castle,35,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
321,SHIP CONSTRUCTION DESIGN BUILD,DLR,Shanganagh Castle,104,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
322,SHIP CONSTRUCTION DESIGN BUILD,DLR,Shanganagh Castle,61,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
323,SHIP CONSTRUCTION,DLR,"Park House, 66 George's Street, Dun Laoghaire",4,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
324,SHIP CONSTRUCTION,DLR,Broadford Rise,21,*N/A,,,,,,Q4-2021
325,SHIP CONSTRUCTION,DLR,"Ballyogan Avenue, Ballyogan",2,*N/A,,,,,,Q2-2021
326,SHIP CONSTRUCTION,DLR,"St. Laurence’s Park, Stillorgan, Co. Dublin",88,*N/A,,"Stage 2 approved Q2-2020, full design/tender being prepared.",,,,
327,SHIP CONSTRUCTION,DLR,"Moyola Court, Churchtown Lower, Dublin 14",4,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
328,SHIP CONSTRUCTION,DLR,"Site at Roebuck Road, Clonskeagh, Dublin 14",4,*N/A,,"Stage 2 approved Q2-2021, full design/tender being prepared.",,,,
329,SHIP CONSTRUCTION,DLR,"37A Rollins Villas, Sallynoggin, Co. Dublin ",1,*N/A,,"Stage 2 approved Q1-2021, full design/tender being prepared.",,,,
330,SHIP CONSTRUCTION,DLR,"Old Coastguard Cottages, Coal Harbour, Harbour Road",4,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
331,SHIP CONSTRUCTION,DLR,"Cross Avenue, Dún Laoghaire, Co. Dublin",4,*N/A,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
332,SHIP CONSTRUCTION,DLR,"Infill Site Adjacent to 4 Rockville Drive, Glenamuck, Co. Dublin",1,N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
333,CAS CONSTRUCTION,DLR,"30 Obelisk Walk, Blackrock",4,St. John of God Housing Association Ltd,,,,,,Q4-2021
334,CALF Turnkey,DLR,"Ardilea Crescent, Ardilea, Clonskeagh, Dublin 14, Co. Dublin (Phase 1)*",2,Tuath Housing Association,,,,,,Q4-2021
335,CALF Turnkey,DLR,"Ballybetagh Road, Kilternan, Co Dublin (Phase 1)*",22,Clanmil Housing Association Ireland,,,,,Q3-2021,
336,CALF Turnkey,DLR,"Cherrywood Town Centre, Dublin 18 (Phase 1)*",80,Clúid Housing,,,,,Q4-2019,
337,CALF Turnkey,DLR,"Cherrywood Town Centre, Dublin 18 (Phase 2)*",61,Clúid Housing,,,,,Q4-2019,
338,CALF Turnkey,DLR,"Egremont, Church Road, Killiney, Co. Dublin (Phase 1)*",4,Circle Voluntary Housing Association Ltd,,,,,Q4-2019,
339,CALF Construction,DLR,"Enniskerry Road, Sandyford, Dublin 18 (Phase 1)",9,Respond,,,,,,Q4-2021
340,CALF Construction,DLR,"Enniskerry Road, Sandyford, Dublin 18 (Phase 2)",22,Respond,,,,,,Q1-2022
341,CALF Construction,DLR,"Enniskerry Road, Sandyford, Dublin 18 (Phase 3)",22,Respond,,,,,,Q1-2022
342,CALF Construction,DLR,"Enniskerry Road, Sandyford, Dublin 19 (Phase 1)",18,Tuath Housing Association,,,,,,Q4-2021
343,CALF Construction,DLR,"Enniskerry Road, Sandyford, Dublin 19 (Phase 2)",16,Tuath Housing Association,,,,,,Q1-2022
344,CALF Construction,DLR,"Enniskerry Road, Sandyford, Dublin 19 (Phase 3)",18,Tuath Housing Association,,,,,,Q1-2022
345,CALF Turnkey,DLR,"Johnstown Place,Johnstown Road, Cabinteely, Dublin 18 (Formerly Johnstown Court) (Phase 1)*",51,Clúid Housing,,,,,,Q2-2021
346,CALF Turnkey,DLR,"Kiln View, Clay Farm Way, Leopardstown, Co Dublin (Phase 1)*",55,The Iveagh Trust,,,,,Q4-2020,
347,CALF Turnkey,DLR,"Mount Eagle, Kilgobbin Road, Sandyford, Dublin 18 (Phase 1)*",14,Tuath Housing Association,,,,,,Q1-2021
348,CALF Turnkey,DLR,"Mount Eagle, Kilgobbin Road, Sandyford, Dublin 18 (Phase 2)*",18,Tuath Housing Association,,,,,,Q2-2021
349,CALF Turnkey,DLR,"Oakton Court, Ballybrack, Co. Dublin (Phase 1)",5,Circle Voluntary Housing Association Ltd,,,,,Q4-2021,
350,CALF Turnkey,DLR,"Phase 2, Elmwood, Johnstown Road, Cabinteely, Dun Laoghaire, Co. Dublin (Phase 1)*",58,Clúid Housing,,,,,,Q1-2022
351,CALF Turnkey,DLR,"The Glen, Glenamuck Road, Carrickmines, Dublin 18 (Phase 1)*",48,Respond,,,,,Q1-2021,
352,CALF Turnkey,DLR,"Whinsfield, Sandyford Road, Dublin 18 (Phase 1)",30,Respond,,,,,Q3-2020,
353,CALF Turnkey,DLR,"Whinsfield, Sandyford Road, Dublin 18 (Phase 1)*",2,Respond,,,,,Q3-2020,
354,CALF Turnkey,DLR,"Whinsfield, Sandyford Road, Dublin 18 (Phase 2)",29,Respond,,,,,Q3-2020,
355,CALF Turnkey,DLR,"Whinsfield, Sandyford Road, Dublin 18 (Phase 2)*",4,Respond,,,,,Q3-2020,
356,SHIP CONSTRUCTION,Donegal,"Rockytown, Buncrana (Phase 1)",21,*N/A,,,,,,Q2-2022
357,SHIP DIALOG,Donegal,Drumrooske West,36,*N/A,,,,,Q2-2021,
358,SHIP DIALOG,Donegal,"Brookfield, Donegal Town",8,*N/A,,,,,,Q1-2022
359,SHIP DIALOG,Donegal,"Meadowfield, Convoy",12,*N/A,,,,"Stage 4 approved Q1-2020, the scheme is fully approved.",,
360,SHIP DIALOG,Donegal,"Donegal Road, Ballybofey",14,*N/A,,,,,Q1-2021,
361,SHIP DIALOG,Donegal,"Admiran, Stranorlar",52,*N/A,,,,"Stage 4 approved Q4-2020, the scheme is fully approved.",,
362,SHIP DIALOG,Donegal,"Rockview, Carrickboy, Ballyshannon",5,*N/A,,,,,Q1-2021,
363,SHIP DIALOG,Donegal,"Glencrow, Moville",35,*N/A,,,,,Q2-2021,
364,SHIP DIALOG,Donegal,"Ballyraine, Letterkenny",25,*N/A,,,,,Q3-2021,
365,SHIP DIALOG,Donegal,"Lough Fern Heights, Milford",17,*N/A,,,,,Q1-2021,
366,SHIP DIALOG,Donegal,"Brookfield, Donegal Town",12,*N/A,,,,,Q4-2020,
367,SHIP DIALOG,Donegal,"Brookfield, Donegal Town",14,*N/A,,,,,Q4-2020,
368,SHIP DIALOG,Donegal,"Meadowfield, Convoy",12,*N/A,,,,"Stage 4 approved Q1-2020, the scheme is fully approved.",,
369,SHIP DIALOG,Donegal,"Cnoc Ard, Carnamuggagh, Letterkenny",6,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
370,SHIP CONSTRUCTION SINGLE STAGE,Donegal,SRD Loughanure Annagry,1,*N/A,,,,,Q1-2021,
371,SHIP CONSTRUCTION SINGLE STAGE,Donegal,"SRD Meenderrynasloe, Annagry",1,*N/A,,,,,Q1-2021,
372,SHIP CONSTRUCTION SINGLE STAGE,Donegal,Knockamany Malin,1,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
373,SHIP CONSTRUCTION SINGLE STAGE,Donegal,"Largymore, Kilcar",1,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
374,SHIP CONSTRUCTION SINGLE STAGE,Donegal,"The Meadows, Buncrana",1,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
375,SHIP CONSTRUCTION,Donegal,"Meadow Hill, Raphoe",11,*N/A,,,,,Q3-2020,
376,SHIP CONSTRUCTION,Donegal,"Long Lane, Letterkenny",29,*N/A,,,,,,Q2-2021
377,SHIP CONSTRUCTION,Donegal,"Pound Street, Dunfanaghy",4,*N/A,,,,,Q3-2020,
378,SHIP CONSTRUCTION,Donegal,"Railway Park, Drumrooske, Donegal Town",24,*N/A,,,,,,Q2-2021
379,SHIP CONSTRUCTION,Donegal,"Railway Park, Drumrooske, Donegal Town",24,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
380,SHIP CONSTRUCTION,Donegal,"Trusk Road, Ballybofey",19,*N/A,,,"Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.",,,
381,SHIP CONSTRUCTION,Donegal,"Crana Crescent, Buncrana",16,*N/A,,"Stage 2 approved Q3-2020, full design/tender being prepared.",,,,
